"order_id","order_date","order_month","amount","product_id"
30,"2023-08-08","8","19.50",101
29,"2023-08-01","8","89.99",108
28,"2023-07-23","7","39.95",105
27,"2023-07-16","7","109.50",104
26,"2023-07-09","7","49.99",102
25,"2023-07-02","7","199.95",110
24,"2023-06-24","6","24.50",101
23,"2023-06-17","6","119.00",107
22,"2023-06-10","6","54.00",103
21,"2023-06-03","6","159.95",109
20,"2023-05-25","5","29.99",105
19,"2023-05-18","5","94.50",104
18,"2023-05-12","5","44.95",102
17,"2023-05-05","5","179.00",108
16,"2023-04-23","4","14.99",101
15,"2023-04-16","4","69.95",103
14,"2023-04-09","4","34.50",102
13,"2023-04-02","4","129.00",107
12,"2023-03-21","3","19.99",105
11,"2023-03-14","3","89.00",104
10,"2023-03-08","3","39.99",101
9,"2023-03-01","3","149.95",106
8,"2023-02-20","2","59.50",103
7,"2023-02-15","2","79.99",102
6,"2023-02-10","2","24.99",105
5,"2023-02-03","2","199.00",104
4,"2023-01-22","1","15.75",101
3,"2023-01-18","1","99.50",103
2,"2023-01-12","1","29.95",102
1,"2023-01-05","1","49.99",101
